Data;Hour;Rain;Temp
13/01/2021;1800 UTC;0;24,8
13/01/2021;1900 UTC;0;23,7
13/01/2021;2000 UTC;0;24,9
13/01/2021;2100 UTC;0;22,3
13/01/2021;2200 UTC;0;21,5
13/01/2021;2300 UTC;0;20,5
14/01/2021;0000 UTC;0;20,1
14/01/2021;0100 UTC;0;19,9
14/01/2021;0200 UTC;0;19,6
14/01/2021;0300 UTC;0;19,1
14/01/2021;0400 UTC;0;19,1
14/01/2021;0500 UTC;0;18,7
14/01/2021;0600 UTC;0;18,2
14/01/2021;0700 UTC;0;18
14/01/2021;0800 UTC;0;17,5
14/01/2021;0900 UTC;0;17,5
14/01/2021;1000 UTC;0;19
14/01/2021;1100 UTC;0;21
14/01/2021;1200 UTC;0;22,1
14/01/2021;1300 UTC;0;24,3
14/01/2021;1400 UTC;0;26,2
14/01/2021;1500 UTC;0;26,9
14/01/2021;1600 UTC;0;23,7
14/01/2021;1700 UTC;0;27,6
14/01/2021;1800 UTC;0;25,2
14/01/2021;1900 UTC;0;27,2
14/01/2021;2000 UTC;0;25,5
14/01/2021;2100 UTC;0;23,2
14/01/2021;2200 UTC;0;22,1
14/01/2021;2300 UTC;0;21,2
15/01/2021;0000 UTC;0;20,5
15/01/2021;0100 UTC;0;19,9
15/01/2021;0200 UTC;0;19,5
15/01/2021;0300 UTC;0;18,5
15/01/2021;0400 UTC;0;18,1
15/01/2021;0500 UTC;0;17,6
15/01/2021;0600 UTC;0;17,6
15/01/2021;0700 UTC;0;17,3
15/01/2021;0800 UTC;0;17
15/01/2021;0900 UTC;0;17,1
15/01/2021;1000 UTC;0;18,9
15/01/2021;1100 UTC;0;22,1
15/01/2021;1200 UTC;0;23,6
15/01/2021;1300 UTC;0;25,9
15/01/2021;1400 UTC;0;23,4
15/01/2021;1500 UTC;0;26,5
15/01/2021;1600 UTC;0;25,4
15/01/2021;1700 UTC;0;27,3
15/01/2021;1800 UTC;0;25,3
15/01/2021;1900 UTC;0;24,9
15/01/2021;2000 UTC;3;18,1
15/01/2021;2100 UTC;12;18,4
15/01/2021;2200 UTC;0,6;19,1
15/01/2021;2300 UTC;0,2;18,4
16/01/2021;0000 UTC;0,2;19,1
16/01/2021;0100 UTC;0;18,6
16/01/2021;0200 UTC;0;18,4
16/01/2021;0300 UTC;0;18,2
16/01/2021;0400 UTC;0;17,9
16/01/2021;0500 UTC;0;17,6
16/01/2021;0600 UTC;0;17,3
16/01/2021;0700 UTC;0;17,4
16/01/2021;0800 UTC;0;17,4
16/01/2021;0900 UTC;0;17,6
16/01/2021;1000 UTC;0;18
16/01/2021;1100 UTC;0;18,3
16/01/2021;1200 UTC;0;19,7
16/01/2021;1300 UTC;0;20,9
16/01/2021;1400 UTC;0;21,9
16/01/2021;1500 UTC;0;22,3
16/01/2021;1600 UTC;0;23,8
16/01/2021;1700 UTC;0;22,9
16/01/2021;1800 UTC;0;22,5
16/01/2021;1900 UTC;0;23
16/01/2021;2000 UTC;0;22,1
16/01/2021;2100 UTC;0;21,2
16/01/2021;2200 UTC;0;20,4
