Data;Hour;Rain;Temp
01/01/2019;0000 UTC;0;18,9
01/01/2019;0100 UTC;0;18,5
01/01/2019;0200 UTC;0;18,5
01/01/2019;0300 UTC;0;18,7
01/01/2019;0400 UTC;0;18,8
01/01/2019;0500 UTC;0;18,9
01/01/2019;0600 UTC;0;18,8
01/01/2019;0700 UTC;0;18,4
01/01/2019;0800 UTC;0,4;17,9
01/01/2019;0900 UTC;7,8;17,7
01/01/2019;1000 UTC;0;17,8
01/01/2019;1100 UTC;1,4;18
01/01/2019;1200 UTC;7;18
01/01/2019;1300 UTC;0,2;19
01/01/2019;1400 UTC;0;21,9
01/01/2019;1500 UTC;0;23,5
01/01/2019;1600 UTC;0;23,9
01/01/2019;1700 UTC;1,6;19,6
01/01/2019;1800 UTC;0;22,5
01/01/2019;1900 UTC;0;23,5
01/01/2019;2000 UTC;0,2;23
01/01/2019;2100 UTC;0;21,4
01/01/2019;2200 UTC;0;20
01/01/2019;2300 UTC;0;19,7
02/01/2019;0000 UTC;0;19,9
02/01/2019;0100 UTC;0;20,1
02/01/2019;0200 UTC;0;19,3
02/01/2019;0300 UTC;0;19
02/01/2019;0400 UTC;0;18,8
02/01/2019;0500 UTC;0;19
02/01/2019;0600 UTC;0;19,1
02/01/2019;0700 UTC;0;19
02/01/2019;0800 UTC;0;19
02/01/2019;0900 UTC;0;20,6
02/01/2019;1000 UTC;0;22,2
02/01/2019;1100 UTC;0;23,5
02/01/2019;1200 UTC;0;24,1
02/01/2019;1300 UTC;0;24,4
02/01/2019;1400 UTC;0;27,3
02/01/2019;1500 UTC;0;25,9
02/01/2019;1600 UTC;0;28,4
02/01/2019;1700 UTC;0;26,2
02/01/2019;1800 UTC;0;25
02/01/2019;1900 UTC;2,6;25,1
02/01/2019;2000 UTC;0;23,4
02/01/2019;2100 UTC;0;21,1
02/01/2019;2200 UTC;0;21,1
02/01/2019;2300 UTC;0;22,8
03/01/2019;0000 UTC;0;22,3
03/01/2019;0100 UTC;0;21,2
03/01/2019;0200 UTC;0;20,7
03/01/2019;0300 UTC;0;20,3
03/01/2019;0400 UTC;0;19,9
03/01/2019;0500 UTC;0;19,5
03/01/2019;0600 UTC;0;19,4
03/01/2019;0700 UTC;0;19,2
03/01/2019;0800 UTC;0;19,7
03/01/2019;0900 UTC;0;19,8
03/01/2019;1000 UTC;0;20,4
